"ID","Fecha creación","Tipo vertimiento","Medio receptor","Caudal","Permanentes","Transitorias","Cuenca","Macro cuenca","Cota","Pretratamiento","Tratamiento primario","Tratamiento secundario","Manejo efluente"
"106101.0","22/02/2021","Agua residual doméstica","Al suelo","0.0138","8","0","Q. Comia","Directos Río Cauca entre Río San Juan y Pto Valdivia (mi)","2054.0","Separación de grasas (trampas de grasas, etc.)","Sedimentación","Filtro anaerobio","Zanja o Campo de infiltración"
"109273.0","12/08/2021","Agua residual doméstica","Al suelo","0.0092","4","3","Q. SANTA ELENA","Río Porce","2587.0","Separación de grasas (trampas de grasas, etc.)","Sedimentación","Filtro anaerobio","Zanja o Campo de infiltración"
"105790.0","08/02/2021","Agua residual doméstica","Al suelo","0.0067","4","0","R. Concepción","Alto Nechí","2600.0","Separación de grasas (trampas de grasas, etc.)","Sedimentación","Tanque septico","Pozo de absorción o infiltración"
"107293.0","12/04/2021","Agua residual doméstica","Al suelo","0.0067","3","2","Q. PIEDRAS BLANCAS","Río Porce","2449.0","Separación de grasas (trampas de grasas, etc.)","Sedimentación","Filtro anaerobio","Zanja o Campo de infiltración"
"107417.0","19/04/2021","Agua residual doméstica","Al suelo","0.0121","7","0","Q. SANTA ELENA","Río Porce","2546.0","Separación de grasas (trampas de grasas, etc.)","Sedimentación","Filtro anaerobio","Zanja o Campo de infiltración"
"109543.0","26/08/2021","Agua residual doméstica","Al suelo","0.0199","7","10","Q. OVEJAS","Río Porce","1562.0","Separación de grasas (trampas de grasas, etc.)","Sedimentación","Tanque septico","Zanja o Campo de infiltración"
"110906.0","05/11/2021","Agua residual doméstica","Al suelo","0.0091","4","3","R. Chico","Río Porce","2367.0","Separación de grasas (trampas de grasas, etc.)","Sedimentación","Tanque septico","Pozo de absorción o infiltración"
"110906.0","05/11/2021","Agua residual doméstica","Al suelo","0.0091","4","3","R. Chico","Río Porce","2367.0","Separación de grasas (trampas de grasas, etc.)","Sedimentación","Tanque septico","Pozo de absorción o infiltración"
"121939.0","05/12/2023","Agua residual doméstica","Al suelo","0.0067","4","0","Q. El Oso","Río Porce","1808.0","Separación de grasas (trampas de grasas, etc.)","Sedimentación","Tanque septico","Zanja o Campo de infiltración"
"106525.0","08/03/2021","Agua residual doméstica","Al suelo","0.0017","1","0","Q. SANTA ELENA","Río Porce","2658.0","Separación de grasas (trampas de grasas, etc.)","Sedimentación","Filtro anaerobio","Pozo de absorción o infiltración"
"119694.0","10/08/2023","Agua residual doméstica","Al suelo","0.0084","5","0","Q. Bramadora","Río Porce","2616.0","Separación de grasas (trampas de grasas, etc.)","Sedimentación","Filtro anaerobio","Pozo de absorción o infiltración"
"112233.0","20/01/2022","Agua residual doméstica","Al suelo","0.0031","0","4","Q. LOS ORTEGAS (Q. LA MATA)","Río Porce","1911.0","Separación de grasas (trampas de grasas, etc.)","Sedimentación","Filtro anaerobio","Pozo de absorción o infiltración"
"113285.0","06/05/2022","Agua residual doméstica","Al suelo","0.005","2","2","Q. LA GARCIA","Río Porce","2490.0","Separación de grasas (trampas de grasas, etc.)","Sedimentación","Filtro anaerobio","Zanja o Campo de infiltración"
"105464.0","22/01/2021","Agua residual doméstica","Al suelo","0.0092","4","3","Q. SANTA ELENA","Río Porce","2569.0","Separación de grasas (trampas de grasas, etc.)","Sedimentación","Filtro anaerobio","Zanja o Campo de infiltración"
"107313.0","13/04/2021","Agua residual doméstica","Al suelo","0.0052","3","0","Q. SANTA ELENA","Río Porce","2552.0","Separación de grasas (trampas de grasas, etc.)","Sedimentación","Filtro anaerobio","Zanja o Campo de infiltración"
"114110.0","24/06/2022","Agua residual doméstica","Al suelo","0.0163","4","12","Q. La Sinifaná","Directos Río Cauca  entre Río San Juan y  Pto Valdivia (md)","1385.0","Separación de grasas (trampas de grasas, etc.)","Sedimentación","Filtro anaerobio","Pozo de absorción o infiltración"
"115905.0","03/11/2022","Agua residual doméstica","Al suelo","0.009","3","5","Q. Taparo","Directos Río Cauca  entre Río San Juan y  Pto Valdivia (md)","1951.0","Separación de grasas (trampas de grasas, etc.)","Sedimentación","Filtro anaerobio","Pozo de absorción o infiltración"
"117386.0","16/03/2023","Agua residual doméstica","Al suelo","0.0085","4","2","Q. LA IGUANA","Río Porce","2100.0","Separación de grasas (trampas de grasas, etc.)","Sedimentación","Filtro anaerobio","Zanja o Campo de infiltración"
"119352.0","24/07/2023","Agua residual doméstica","Al suelo","0.005","3","0","Q. Ventanas o Q. La Maria","Río Porce","1914.0","No registra","Sedimentación","Filtro anaerobio","Pozo de absorción o infiltración"
"123551.0","26/04/2024","Agua residual doméstica","Al suelo","0.0052","3","0","R. Farallones","Río San Juan","1762.0","Separación de grasas (trampas de grasas, etc.)","Sedimentación","Filtro anaerobio","Zanja o Campo de infiltración"
"119401.0","25/07/2023","Agua residual doméstica","Al suelo","0.0125","5","5","Q. EL CHUSCAL","Río Porce","1664.0","Separación de grasas (trampas de grasas, etc.)","Sedimentación","Filtro anaerobio","Pozo de absorción o infiltración"
"125422.0","29/10/2024","Agua residual doméstica","Al suelo","0.0052","3","0","Q. Quebradona","Directos Río Cauca entre Río San Juan y Pto Valdivia (mi)","1633.0","Separación de grasas (trampas de grasas, etc.)","Sedimentación","Filtro anaerobio","Zanja o Campo de infiltración"
"108104.0","21/05/2021","Agua residual doméstica","Al suelo","0.0067","4","0","R. Grande Tramo 4","Río Porce","2209.0","Separación de grasas (trampas de grasas, etc.)","Sedimentación","Tanque septico","Pozo de absorción o infiltración"
"114325.0","13/07/2022","Agua residual doméstica","Al suelo","0.0144","7","3","Q. La Sucia","Directos Río Cauca  entre Río San Juan y  Pto Valdivia (md)","1879.0","Separación de grasas (trampas de grasas, etc.)","Sedimentación","Filtro anaerobio","Pozo de absorción o infiltración"
"110162.0","28/09/2021","Agua residual doméstica","Al suelo","0.005","3","0","Q. De Tanque","Directos Río Cauca  entre Río San Juan y  Pto Valdivia (md)","2461.0","Separación de grasas (trampas de grasas, etc.)","Sedimentación","Filtro anaerobio","Zanja o Campo de infiltración"
"109743.0","02/09/2021","Agua residual doméstica","Al suelo","0.005","2","2","Q. LA IGUANA","Río Porce","2247.0","Separación de grasas (trampas de grasas, etc.)","Sedimentación","Filtro anaerobio","Zanja o Campo de infiltración"
"125127.0","24/09/2024","Agua residual doméstica","Al suelo","0.009","3","5","Directos R. Buey (mi) entre Q. Sabaletas y R. Arma","Río Arma","1610.0","Separación de grasas (trampas de grasas, etc.)","Sedimentación","Tanque septico","Zanja o Campo de infiltración"
"122038.0","14/12/2023","Agua residual doméstica","Al suelo","0.0035","2","0","Q. La Zanja","Directos Río Cauca entre Río San Juan y Pto Valdivia (mi)","490.0","Separación de grasas (trampas de grasas, etc.)","Sedimentación","Tanque septico","Zanja o Campo de infiltración"
